business_id,num_reviews,num_relationship_words,aunt,bff,boo,boss,boyfriend,brother,child,classmate,client,cousin,coworker,date,daughter,father,fiancee,friend,girlfriend,grandchild,grandfather,grandmother,grandparents,housemate,husband,mother,neighbor,nephew,niece,parent,partner,professor,relationship,siblings,sister,son,spouse,teacher,uncle,wife
uMvVYRgGNXf5boolA9HXTw,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVndHaLihEYbr76Z0CMEGw,138,22,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,6,0,0,0,0,0,0,6,1,0,1,0,2,0,0,0,0,1,1,0,0,0,1
CLEWowfkj-wKYJlQDqT1aw,49,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
pR8u8hXf1vvzoAGOoKHQqQ,39,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cg4JFJcCxRTTMmcg9O9KtA,481,106,0,0,0,0,13,0,3,0,1,0,2,2,3,0,0,26,3,0,0,1,0,0,28,2,0,0,0,0,0,0,0,0,2,4,1,0,0,15
GyC36Pn0Q1-qHnqXys6yFg,89,13,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4
IfcJZKQiBKf_9yq784qbww,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZuM1vcZ_ObCjCCGweYzItg,40,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
hAmuto6UndVroyd_DaD-TA,412,87,0,0,0,0,9,3,0,0,0,0,0,0,7,3,3,12,1,0,0,0,0,0,10,7,1,1,0,2,0,0,0,1,2,5,1,0,0,19
GgGfhKUGusCbP-rvjHiS3A,44,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
