business_id,num_reviews,num_relationship_words,aunt,bff,boo,boss,boyfriend,brother,child,classmate,client,cousin,coworker,date,daughter,father,fiancee,friend,girlfriend,grandchild,grandfather,grandmother,grandparents,housemate,husband,mother,neighbor,nephew,niece,parent,partner,professor,relationship,siblings,sister,son,spouse,teacher,uncle,wife,family,romantic,friendship,professional,family_pct,romantic_pct,friendship_pct,professional_pct,city,review_count,name,longitude,state,stars,address,latitude,metroarea,categories,is_active,is_arts,is_auto,is_beautysvc,is_bicycles,is_education,is_eventservices,is_financialservices,is_food,is_health,is_homeservices,is_hotelstravel,is_localflavor,is_localservices,is_massmedia,is_nightlife,is_pets,is_professional,is_publicservicesgovt,is_religiousorgs,is_restaurants,is_shopping
uMvVYRgGNXf5boolA9HXTw,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,Tampa,8,Shalimar Fine Jewelers,-82.527879,FL,2.5,250 Westshore Plz,27.94752,Tampa,"Shopping, Jewelry",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
BVndHaLihEYbr76Z0CMEGw,138,22,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,6,0,0,0,0,0,0,6,1,0,1,0,2,0,0,0,0,1,1,0,0,0,1,8,7,6,1,0.36363636363636365,0.3181818181818182,0.2727272727272727,0.045454545454545456,Tampa,162,Mamas Kitchen,-82.5060044,FL,4.5,5524 S Dale Mabry Hwy,27.884852,Tampa,"Sandwiches, Restaurants, American (New), American (Traditional), Breakfast & Brunch",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
CLEWowfkj-wKYJlQDqT1aw,49,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1.0,0.0,0.0,0.0,Tampa,55,Blow Bar Express Styling Salon,-82.5053069603,FL,4.0,"310 S Dale Mabry Hwy, Ste 110",27.9419745389,Tampa,"Makeup Artists, Blow Dry/Out Services, Beauty & Spas, Hair Salons, Nail Salons, Eyebrow Services",False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
pR8u8hXf1vvzoAGOoKHQqQ,39,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0.0,0.6666666666666666,0.3333333333333333,0.0,Tampa,48,Mike's Auto Detailing,-82.4523631,FL,4.5,813 East Sligh Ave,28.0104223,Tampa,"Auto Detailing, Car Wash, Automotive",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
cg4JFJcCxRTTMmcg9O9KtA,481,106,0,0,0,0,13,0,3,0,1,0,2,2,3,0,0,26,3,0,0,1,0,0,28,2,0,0,0,0,0,0,0,0,2,4,1,0,0,15,15,62,26,3,0.14150943396226415,0.5849056603773585,0.24528301886792453,0.02830188679245283,Tampa,544,Ava,-82.482862,FL,3.5,718 S Howard Ave,27.936236,Tampa,"Wine Bars, Desserts, Bars, American (New), Nightlife, Restaurants, Italian, Food, Salad, Breakfast & Brunch, Pizza",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
GyC36Pn0Q1-qHnqXys6yFg,89,13,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,6,7,0,0,0.46153846153846156,0.5384615384615384,0.0,0.0,Tampa,108,Cracker Barrel Old Country Store,-82.42504,FL,3.5,3125 Cove Bend Dr,28.08118,Tampa,"Southern, Comfort Food, Caterers, Breakfast & Brunch, Event Planning & Services, American (New), Restaurants, American (Traditional)",False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
IfcJZKQiBKf_9yq784qbww,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,1.0,0.0,Tampa,27,Westfall Roofing,-82.5351253011,FL,3.5,5413 W Sligh Ave,28.0111357601,Tampa,"Home Services, Roofing",False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ZuM1vcZ_ObCjCCGweYzItg,40,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,2,0,0.6666666666666666,0.0,0.3333333333333333,0.0,Tampa,38,Green Locus,-82.5821822,FL,5.0,11961 Sheldon Rd,28.0576236,Tampa,"Gyms, Fitness & Instruction, Active Life, Yoga, Pilates, Barre Classes",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
hAmuto6UndVroyd_DaD-TA,412,87,0,0,0,0,9,3,0,0,0,0,0,0,7,3,3,12,1,0,0,0,0,0,10,7,1,1,0,2,0,0,0,1,2,5,1,0,0,19,31,43,13,0,0.3563218390804598,0.4942528735632184,0.14942528735632185,0.0,Tampa,441,Lobster Haven,-82.6384793,FL,4.0,12807 W Hillsborough Ave,28.0300603,Tampa,"Specialty Food, Seafood Markets, Seafood, Food, Restaurants",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
GgGfhKUGusCbP-rvjHiS3A,44,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0.3333333333333333,0.6666666666666666,0.0,0.0,Tampa,61,Safelite AutoGlass,-82.485169,FL,3.0,4214 N Armenia Ave,27.979554,Tampa,"Windshield Installation & Repair, Body Shops, Auto Glass Services, Automotive",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
