447,755,39.6371332838,-86.127217412,581042,il_Ro8jwPlHresjw9EGmBg,Denny's
484,139,39.91382,-86.105739,107375,qhDdDeI3K4jy2KyzwFN53w,Barnes & Noble Booksellers
574,160,39.9043203184,-86.0530799,123614,kfNv-JZpuN6TVNSO6hHdkw,Hibachi Express
235,421,39.7874644177,-86.2514209,323984,x1mhq4IpWctQOBM06dU8vg,Diamond Hair Company
584,156,39.9062952,-86.0474634,120548,seKihQKpGGnCeLuELRQPSQ,Twin Peaks
419,237,39.8699114,-86.1435773,182672,L_TT0BFmFwORAMaA83K54A,Village Tap Room
321,140,39.913292,-86.20083,107981,lOP3HxdUTaq0eXhwR_KC-w,Sweet Things Chocolates
523,224,39.8755319,-86.0828565,172779,7clCBgNbd-x2Wj96lZ6Mjw,Bier Brewery and Tap Room
543,457,39.7709745063,-86.0711718384,351976,vR9_bhoszcpXbB_APv6Xlw,James Dant
480,139,39.913836,-86.1079073,107371,jiLGdnf42eYftkqfU2ze1w,Saks Fifth Avenue
224,504,39.7500892,-86.2575225,387800,Q3kQYhkYxSRyYyeBgtk--A,Cook's Glass & Mirror
108,475,39.7628744,-86.3257127,365383,k0yyD71s2F2eEKWRdkZ6jA,Cold Stone Creamery
432,719,39.6531323637,-86.135859,553343,9LLxOjEhLNcdx8i4lL6EUQ,Banfield Pet Hospital
481,138,39.914404,-86.107287,106603,XHTgtBSwLnwRHzKSbea2Fg,Michael Kors
401,550,39.7291579,-86.1544775,423351,U2htB9qk4hOXCdkccvvW0Q,D's Toys
427,533,39.7371,-86.1391,410304,m9ncuZp0nEVhIwu24G-HRw,CVS Pharmacy
447,467,39.7667851,-86.12748,359570,xAAhPuZ8FG6OlvAw5m1BVQ,Willard Park
453,435,39.781126,-86.1241235,334968,tSFXJ0GFl5iUdy021YgWLw,The Mad Griddle 
387,454,39.7725103235,-86.1626825258,349513,r_8FZXRkGoc5QNbTOAIftA,MDG Salon Studio
457,195,39.8887246,-86.1212129,150412,Dtuf4vD0znzwJW9vk3iTNw,Tomo Japanese Steakhouse and Sushi Bar
606,114,39.9250893,-86.0342432,88272,7FHjj04Wy2aqXl22NA_C0g,Aldi
397,466,39.7672488945,-86.1567753553,358751,v5kwdvmg-J8g-ll0nkc3Sw,The Libertine Liquor Bar
557,160,39.904342,-86.0631561,123597,TzrA1TsKMKbrZBkw3q6DEQ,Scout's Treat Truck
434,331,39.827681,-86.135008,254973,s_lHc_CrkzOTY3k4VNtN8w,Indy Fuel
424,498,39.752691,-86.140975,383386,gRHd5bRosRWQBckzPawf-w,Blue Wren Studio
251,615,39.699929,-86.2416313,473186,bDAlJYMIzwOewIThe2IZjQ,Domino's Pizza
